中央电视台,#genre#
湖南卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226307/index.m3u8
湖南卫视,http://58.19.38.162:9901/tsfile/live/1016_1.m3u8

浙江卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225612/index.m3u8
浙江卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226339/index.m3u8
浙江卫视,http://58.19.38.162:9901/tsfile/live/1020_1.m3u8

安徽卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226391/index.m3u8
安徽卫视,http://58.19.38.162:9901/tsfile/live/1021_1.m3u8

湖北卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225627/index.m3u8
湖北卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226477/index.m3u8
湖北卫视,http://58.19.38.162:9901/tsfile/live/1015_1.m3u8

北京卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226450/index.m3u8
北京卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225728/index.m3u8
北京卫视,http://58.19.38.162:9901/tsfile/live/1017_1.m3u8

天津卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225740/index.m3u8
天津卫视,http://58.19.38.162:9901/tsfile/live/1024_1.m3u8

河北卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226406/index.m3u8
河北卫视,http://110.53.191.212:9901/tsfile/live/0117_1.m3u8

山西卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225624/index.m3u8
山西卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226392/index.m3u8
山西卫视,http://113.57.21.233:8666/tsfile/live/1009_1.m3u8

山东卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226456/index.m3u8
山东卫视,http://58.19.38.162:9901/tsfile/live/1025_1.m3u8

内蒙古卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225634/index.m3u8
内蒙古卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226389/index.m3u8

辽宁卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/8/3221226254/index.m3u8
辽宁卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/8/3221225619/index.m3u8
辽宁卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/8/3221226546/index.m3u8
辽宁卫视,http://58.19.38.162:9901/tsfile/live/1027_1.m3u8

吉林卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226397/index.m3u8
吉林卫视,http://113.57.21.233:8666/tsfile/live/1007_1.m3u8

黑龙江卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226327/index.m3u8
黑龙江卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/8/3221226419/index.m3u8
黑龙江卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/8/3221226525/index.m3u8
黑龙江卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/8/3221226531/index.m3u8
黑龙江卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/8/3221226532/index.m3u8
黑龙江卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/8/3221226585/index.m3u8
黑龙江卫视,http://113.57.21.233:8666/tsfile/live/1008_1.m3u8

东方卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225735/index.m3u8
东方卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226345/index.m3u8
东方卫视,http://113.57.21.233:8666/tsfile/live/0107_1.m3u8
东方卫视,http://58.19.38.162:9901/tsfile/live/1018_1.m3u8

东南卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226341/index.m3u8
东南卫视,http://58.19.38.162:9901/tsfile/live/1028_1.m3u8

江苏卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225613/index.m3u8
江苏卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226310/index.m3u8
江苏卫视,http://113.57.21.233:8666/tsfile/live/0127_1.m3u8
江苏卫视,http://58.19.38.162:9901/tsfile/live/1019_1.m3u8

江西卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226344/index.m3u8
江西卫视,http://58.19.38.162:9901/tsfile/live/1029_1.m3u8

河南卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226480/index.m3u8
河南卫视,http://58.19.38.162:9901/tsfile/live/1026_1.m3u8

广东卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226248/index.m3u8
广东卫视,http://58.19.38.162:9901/tsfile/live/1022_1.m3u8

广西卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226380/index.m3u8
广西卫视,http://113.57.21.233:8666/tsfile/live/1004_1.m3u8

深圳卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225739/index.m3u8
深圳卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226313/index.m3u8
深圳卫视,http://58.19.38.162:9901/tsfile/live/1023_1.m3u8

海南卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226465/index.m3u8

重庆卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226409/index.m3u8

四川卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226338/index.m3u8

贵州卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226474/index.m3u8
贵州卫视,http://58.19.38.162:9901/tsfile/live/1030_1.m3u8

云南卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226444/index.m3u8
云南卫视,http://113.57.21.233:8666/tsfile/live/1010_1.m3u8

西藏卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225638/index.m3u8
西藏卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226433/index.m3u8

陕西卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226457/index.m3u8
陕西卫视,http://113.57.21.233:8666/tsfile/live/1013_1.m3u8

甘肃卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225633/index.m3u8

青海卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226323/index.m3u8
青海卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225628/index.m3u8
青海卫视,http://113.57.21.233:8666/tsfile/live/1014_1.m3u8

宁夏卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226454/index.m3u8
宁夏卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225632/index.m3u8
宁夏卫视,http://113.57.21.233:8666/tsfile/live/1003_1.m3u8

新疆卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225635/index.m3u8
新疆卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226460/index.m3u8

兵团卫视,http://zteres.sn.chinamobile.com:6060/000000001000/1000000005000266005/1.m3u8?channel-id=ystenlive&Contentid=1000000005000266005&livemode=1&stbId=3
兵团卫视,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226214/index.m3u8
兵团卫视,http://zteres.sn.chinamobile.com:6060/000000001000/5000000006000040020/1.m3u8?channel-id=bestzb&Contentid=5000000006000040020&livemode=1&stbId=3

中国教育,#genre#

CETV-1综合教育,http://ottrrs.hl.chinamobile.com/PLTV/88888888/8/3221225652/index.m3u8
CETV-1综合教育,http://119.98.182.190:8000/rtp/239.69.1.110:10298

CETV-2教育教学,http://ottrrs.hl.chinamobile.com/PLTV/88888888/8/3221226425/index.m3u8
CETV-2教育教学,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225756/index.m3u8

CETV-3北京地面,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226226/index.m3u8

CETV-4职业教育,http://ottrrs.hl.chinamobile.com/PLTV/88888888/8/3221225783/index.m3u8
CETV-4职业教育,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226225/index.m3u8


卡通动漫,#genre#

哈哈炫动,http://ottrrs.hl.chinamobile.com/PLTV/88888888/8/3221225657/index.m3u8
哈哈炫动,http://61.170.164.195:9901/tsfile/live/1008_1.m3u8
哈哈炫动,http://36.96.38.246:8888/newlive/live/hls/57/live.m3u8

优漫卡通,http://ottrrs.hl.chinamobile.com/PLTV/88888888/8/3221225656/index.m3u8

金鹰卡通,http://ottrrs.hl.chinamobile.com/PLTV/88888888/8/3221225653/index.m3u8
金鹰卡通,http://58.19.38.162:9901/tsfile/live/1031_1.m3u8

嘉佳卡通,http://36.96.38.246:8888/newlive/live/hls/56/live.m3u8

其他,#genre#

CHC-高清电影,http://58.19.38.162:9901/tsfile/live/1038_1.m3u8

CHC-动作电影,http://58.19.38.162:9901/tsfile/live/1037_1.m3u8

CHC-家庭影院,http://58.19.38.162:9901/tsfile/live/1036_1.m3u8

金鹰纪实,http://58.19.38.162:9901/tsfile/live/1032_1.m3u8


