中央,#genre#
辽宁卫视 720,http://gslbserv.itv.cmvideo.cn/index.m3u8?channel-id=ystenlive&Contentid=5393821316758187099&livemode=1&stbId=4
辽宁卫视 576,http://gslbserv.itv.cmvideo.cn/index.m3u8?channel-id=ystenlive&Contentid=7638375013635582245&livemode=1&stbId=4

重庆卫视 540,http://gslbserv.itv.cmvideo.cn/index.m3u8?channel-id=ystenlive&Contentid=7530473587484726181&livemode=1&stbId=4

陕西卫视 540,http://gslbserv.itv.cmvideo.cn/index.m3u8?channel-id=ystenlive&Contentid=9149348477727203604&livemode=1&stbId=4
陕西卫视 576,http://gslbserv.itv.cmvideo.cn/index.m3u8?channel-id=ystenlive&Contentid=7120278140251237664&livemode=1&stbId=4

青海卫视 576,http://gslbserv.itv.cmvideo.cn/index.m3u8?channel-id=ystenlive&Contentid=6721180114242078041&livemode=1&stbId=4

黑龙江卫视 720,http://gslbserv.itv.cmvideo.cn/index.m3u8?channel-id=ystenlive&Contentid=8467838254824392379&livemode=1&stbId=4
黑龙江卫视 720,http://gslbserv.itv.cmvideo.cn/index.m3u8?channel-id=ystenlive&Contentid=9186015289302635496&livemode=1&stbId=4

湖北卫视 576,http://gslbserv.itv.cmvideo.cn/index.m3u8?channel-id=ystenlive&Contentid=6956052407855047826&livemode=1&stbId=4

吉林卫视 576,http://gslbserv.itv.cmvideo.cn/index.m3u8?channel-id=ystenlive&Contentid=6042486520432105075&livemode=1&stbId=4

西藏卫视 576,http://gslbserv.itv.cmvideo.cn/index.m3u8?channel-id=ystenlive&Contentid=6603041244077933770&livemode=1&stbId=4


其他,#genre#

广东珠江 576,http://gslbserv.itv.cmvideo.cn/index.m3u8?channel-id=ystenlive&Contentid=1000000004000011655&livemode=1&stbId=4

上海纪实人文 720,http://gslbserv.itv.cmvideo.cn/index.m3u8?channel-id=bestzb&Contentid=7081356299464623208&livemode=1&stbId=4

上海第一财经 720,http://gslbserv.itv.cmvideo.cn/index.m3u8?channel-id=bestzb&Contentid=6617141658685778844&livemode=1&stbId=4

上海ICS外语 720,http://gslbserv.itv.cmvideo.cn/index.m3u8?channel-id=bestzb&Contentid=6032059665143203976&livemode=1&stbId=4

上海新闻综合 540,http://gslbserv.itv.cmvideo.cn/index.m3u8?channel-id=bestzb&Contentid=7487426726248458200&livemode=1&stbId=4

上海都市 720,http://gslbserv.itv.cmvideo.cn/index.m3u8?channel-id=bestzb&Contentid=6789517052815334336&livemode=1&stbId=4

上海五星体育 720,http://gslbserv.itv.cmvideo.cn/index.m3u8?channel-id=bestzb&Contentid=4612233678249154892&livemode=1&stbId=4


上海哈哈炫动 540,http://gslbserv.itv.cmvideo.cn/index.m3u8?channel-id=ystenlive&Contentid=7253543213338128343&livemode=1&stbId=4

湖南公共 576,http://gslbserv.itv.cmvideo.cn/index.m3u8?channel-id=ystenlive&Contentid=6307875884530512195&livemode=1&stbId=4

湖南娱乐 576,http://gslbserv.itv.cmvideo.cn/index.m3u8?channel-id=ystenlive&Contentid=6427893650335440392&livemode=1&stbId=4

湖南电影 576,http://gslbserv.itv.cmvideo.cn/index.m3u8?channel-id=ystenlive&Contentid=7884242846753128038&livemode=1&stbId=4

湖南电视剧 576,http://gslbserv.itv.cmvideo.cn/index.m3u8?channel-id=ystenlive&Contentid=8765482907954673867&livemode=1&stbId=4

湖南金鹰卡通 576,http://gslbserv.itv.cmvideo.cn/index.m3u8?channel-id=ystenlive&Contentid=5201381050640253101&livemode=1&stbId=4

北京卡酷少儿 576,http://gslbserv.itv.cmvideo.cn/index.m3u8?channel-id=ystenlive&Contentid=7589856436881630561&livemode=1&stbId=4

SiTV生活时尚 720,http://gslbserv.itv.cmvideo.cn/index.m3u8?channel-id=bestzb&Contentid=8538616372715313491&livemode=1&stbId=4

SiTV欢笑剧场 540,http://gslbserv.itv.cmvideo.cn/index.m3u8?channel-id=bestzb&Contentid=6550198305014687851&livemode=1&stbId=4

SiTV法治天地 540,http://gslbserv.itv.cmvideo.cn/index.m3u8?channel-id=bestzb&Contentid=9001547084732463424&livemode=1&stbId=4

SiTV东方财经 540,http://gslbserv.itv.cmvideo.cn/index.m3u8?channel-id=bestzb&Contentid=7061949425579508455&livemode=1&stbId=4

SiTV都市剧场 540,http://gslbserv.itv.cmvideo.cn/index.m3u8?channel-id=bestzb&Contentid=6458566386506430130&livemode=1&stbId=4

SiTV动漫秀场 540,http://gslbserv.itv.cmvideo.cn/index.m3u8?channel-id=bestzb&Contentid=9072176337701960899&livemode=1&stbId=4

SiTV七彩戏剧 540,http://gslbserv.itv.cmvideo.cn/index.m3u8?channel-id=bestzb&Contentid=5379866194427087552&livemode=1&stbId=4

SiTV极速汽车 540,http://gslbserv.itv.cmvideo.cn/index.m3u8?channel-id=bestzb&Contentid=6674152167754937164&livemode=1&stbId=4
